combo,filename,label,esp_only,window_index,start_offset_sec,n_packets,n_bytes,pkts_per_sec,bytes_per_sec,mean_size,std_size,min_size,max_size,median_size,mean_inter_arrival,std_inter_arrival,max_inter_arrival,fwd_packet_ratio,fwd_byte_ratio
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__file_transfer_run1.pcap,file_transfer,True,0,0.0,5000,6434912,5000.0,6434912.0,1286.9824,491.8273608908152,108,1500,1500.0,0.00016137770973078893,0.001523738034309767,0.0625009536743164,0.8622,0.9877574083375188
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__icmp_run1.pcap,icmp,True,0,0.0,2,280,2.0,280.0,140.0,0.0,140,140,140.0,0.004175901412963867,0.0,0.004175901412963867,0.5,0.5
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__icmp_run1.pcap,icmp,True,1,1.0,2,280,2.0,280.0,140.0,0.0,140,140,140.0,0.00017499923706054688,0.0,0.00017499923706054688,0.5,0.5
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__icmp_run1.pcap,icmp,True,2,2.0,2,280,2.0,280.0,140.0,0.0,140,140,140.0,0.00017595291137695312,0.0,0.00017595291137695312,0.5,0.5
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__icmp_run1.pcap,icmp,True,3,3.0,2,280,2.0,280.0,140.0,0.0,140,140,140.0,0.0002570152282714844,0.0,0.0002570152282714844,0.5,0.5
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__icmp_run1.pcap,icmp,True,4,4.0,2,280,2.0,280.0,140.0,0.0,140,140,140.0,0.0002090930938720703,0.0,0.0002090930938720703,0.5,0.5
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__icmp_run1.pcap,icmp,True,5,5.0,2,280,2.0,280.0,140.0,0.0,140,140,140.0,0.0002009868621826172,0.0,0.0002009868621826172,0.5,0.5
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__icmp_run1.pcap,icmp,True,6,6.0,2,280,2.0,280.0,140.0,0.0,140,140,140.0,0.00016307830810546875,0.0,0.00016307830810546875,0.5,0.5
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__icmp_run1.pcap,icmp,True,7,7.0,2,280,2.0,280.0,140.0,0.0,140,140,140.0,0.00037097930908203125,0.0,0.00037097930908203125,0.5,0.5
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__icmp_run1.pcap,icmp,True,8,8.0,2,280,2.0,280.0,140.0,0.0,140,140,140.0,0.00015997886657714844,0.0,0.00015997886657714844,0.5,0.5
