label,packet_count,total_bytes,duration_sec,bytes_per_sec,mean_size,std_size,min_size,max_size,mean_inter_arrival,std_inter_arrival,fwd_packet_ratio,bwd_packet_ratio
video_streaming,500,419176,1.931575059890747,217012.53485003542,838.352,691.5755559555228,122,1514,0.0038708919035886713,0.03456015677874817,0.444,0.556
voip,30,14140,0.4080390930175781,34653.542373673634,471.3333333333333,80.50415852755611,394,602,0.01407031355233028,0.03175272952241171,0.5,0.5
web_browsing,300,63960,19.019896984100342,3362.7942387630846,213.2,253.4099749114375,122,970,0.0636116955989978,0.20561486221136302,0.6,0.4
file_transfer,5000,6578528,0.8609979152679443,7640585.282895544,1315.7056,480.7178566063175,122,1514,0.0001722340298595608,0.0027832910575350893,0.8672,0.1328
icmp,20,3024,8.401310920715332,359.9438264501846,151.2,8.618218157515294,126,154,0.4421742589850175,0.508633350779075,0.5,0.5
video_streaming,500,429912,2.2647130489349365,189830.6720147975,859.824,690.2852486276568,122,1514,0.004538503104078029,0.03720513628777507,0.42,0.58
voip,30,14140,0.4072139263153076,34723.76332495891,471.3333333333333,80.50415852755611,394,602,0.014041859528114056,0.031714188868072736,0.5,0.5
web_browsing,300,63960,19.482184886932373,3282.999333555294,213.2,253.4099749114375,122,970,0.0651578089863959,0.20793539720373158,0.6,0.4
file_transfer,4998,4843542,1.4054679870605469,3446212.9657822954,969.0960384153661,678.487540921883,66,1514,0.0002812623548250044,0.01119051526564299,0.6242496998799519,0.375750300120048
icmp,20,2880,5.6597740650177,508.85423462411535,144.0,33.60451097538449,98,170,0.29788284552724736,0.460693791849201,0.65,0.35
video_streaming,500,488338,1.6462860107421875,296630.1097218489,976.676,649.5312746724019,66,1514,0.0032991703622087926,0.037623389106174555,0.308,0.692
voip,40,18545,0.3996870517730713,46398.80105630547,463.625,93.43685307639868,339,618,0.010248385942899264,0.026778354323130377,0.325,0.675
web_browsing,300,73047,15.191577911376953,4808.387938773311,243.49,293.42103351617277,66,1002,0.050807952880859375,0.19024728497891571,0.43,0.57
file_transfer,5000,4030946,1.0165390968322754,3965362.4858711055,806.1892,698.9636452912611,66,1514,0.00020334848906426793,0.0053911595778211915,0.5074,0.4926
icmp,20,2880,5.63684606552124,510.92401078965526,144.0,33.60451097538449,98,170,0.29667610871164424,0.459511817573842,0.65,0.35
video_streaming,500,492404,1.3005499839782715,378612.1303033492,984.808,647.4610774630853,66,1514,0.0026063125931428286,0.028323536125101266,0.302,0.698
voip,40,18545,0.40209007263183594,46121.50675249394,463.625,93.43685307639868,339,618,0.010310001862354768,0.027990177187651913,0.325,0.675
web_browsing,300,73047,14.814630031585693,4930.734000394161,243.49,293.42103351617277,66,1002,0.04954725763072138,0.18717946692779888,0.43,0.57
file_transfer,5000,6531408,1.435020923614502,4551437.4686250705,1306.2816,492.1918455887021,102,1514,0.00028706159704230884,0.011033004117696126,0.8702,0.1298
icmp,20,2626,8.196998119354248,320.36118122311757,131.3,8.411145488044577,103,134,0.4314209536502236,0.516672342337911,0.5,0.5
video_streaming,500,453536,2.330026149749756,194648.45922382013,907.072,691.6444019679094,102,1514,0.004669391081662837,0.03799110158252807,0.376,0.624
voip,30,13780,0.4069509506225586,33861.57466623234,459.3333333333333,81.42410612018571,374,590,0.014032791400777882,0.03133965545104822,0.5,0.5
web_browsing,300,59040,19.50288486480713,3027.244451744543,196.8,256.36543733154434,102,962,0.0652270396816292,0.20901045056772216,0.5966666666666667,0.4033333333333333
file_transfer,5000,6457780,0.9334220886230469,6918392.095826982,1291.556,504.3741213770419,102,1514,0.0001867217620770248,0.0053881185192502816,0.8666,0.1334
icmp,20,2626,8.559491157531738,306.7939380589591,131.3,8.411145488044577,103,134,0.4504995346069336,0.5074117544448318,0.5,0.5
video_streaming,500,438328,1.9297001361846924,227148.2453572504,876.656,694.658730000806,102,1514,0.003867134541452289,0.03437200541064578,0.408,0.592
voip,30,13780,0.4084460735321045,33737.62386998897,459.3333333333333,81.42410612018571,374,590,0.014084347363176018,0.03157488303896718,0.5,0.5
web_browsing,300,59040,19.21915912628174,3071.934605050656,196.8,256.36543733154434,102,962,0.06427812416816635,0.20376737885621385,0.6,0.4
file_transfer,5000,4139078,0.613070011138916,6751395.31341735,827.8156,701.078489333599,66,1514,0.00012263852993376996,0.002603742996970263,0.5288,0.4712
icmp,20,2650,5.235507011413574,506.1591922659858,132.5,27.165186699543455,98,154,0.2755530006007144,0.4574808644990004,0.65,0.35
video_streaming,500,487352,1.293625831604004,376733.3552668148,974.704,661.1964442279764,66,1514,0.002592436536280569,0.028202549309441306,0.304,0.696
voip,40,18201,0.4009699821472168,45392.42539437147,455.025,91.94298330752152,339,610,0.01028128159351838,0.027879520731950942,0.325,0.675
web_browsing,300,70051,13.863287925720215,5052.986014236645,233.50333333333333,292.8464560338646,66,982,0.04636551145725824,0.1756351079655471,0.43,0.57
file_transfer,5000,4507002,0.6234040260314941,7229664.570328437,901.4004,694.0653544321922,66,1514,0.00012470574635556995,0.0026677120349140157,0.5816,0.4184
icmp,20,2650,5.07727313041687,521.9337096766393,132.5,27.165186699543455,98,154,0.2672249016008879,0.4508425270385585,0.35,0.65
video_streaming,500,487352,1.2990100383758545,375171.85056501464,974.704,661.1964442279764,66,1514,0.0026032265298113317,0.028278741422414252,0.304,0.696
voip,40,18201,0.4021139144897461,45263.29317177639,455.025,91.94298330752152,339,610,0.010310613192044772,0.027925698984425915,0.325,0.675
web_browsing,300,70051,13.372920036315918,5238.272554518185,233.50333333333333,292.8464560338646,66,982,0.0447254850712907,0.17211328590457514,0.43,0.57
file_transfer,5000,6372564,0.9574239253997803,6655948.144745896,1274.5128,520.5124679409864,102,1514,0.00019152308969789563,0.00274745315033046,0.8532,0.1468
icmp,20,2626,8.15785813331604,321.89821851346323,131.3,8.411145488044577,103,134,0.4293609543850547,0.4957704818011298,0.5,0.5
video_streaming,500,449112,2.2363879680633545,200820.25409433662,898.224,693.2397858066504,90,1514,0.004481739414956622,0.03706917854300197,0.372,0.628
voip,30,13780,0.4082348346710205,33755.08121717425,459.3333333333333,81.42410612018571,374,590,0.014077063264517948,0.0316484182781284,0.5,0.5
web_browsing,300,59040,18.546365976333618,3183.372962408858,196.8,256.36543733154434,102,962,0.06202797985395859,0.19748840113618218,0.6,0.4
file_transfer,5000,6708244,0.6796150207519531,9870652.93609569,1341.6488,453.00808107898536,102,1514,0.00013595019418922847,0.0015134442476146745,0.8974,0.1026
icmp,20,2626,8.167481184005737,321.51895313116347,131.3,8.411145488044577,103,134,0.42986743073714406,0.5053359360246162,0.5,0.5
video_streaming,500,419132,1.9219629764556885,218074.96040996877,838.264,698.1846904853014,102,1514,0.003851629211334045,0.034410111222587025,0.436,0.564
voip,30,13780,0.4080519676208496,33770.20843777425,459.3333333333333,81.42410612018571,374,590,0.014070757504167229,0.031608067979024,0.5,0.5
web_browsing,300,59040,17.823161125183105,3312.543694428025,196.8,256.36543733154434,102,962,0.059609234532384966,0.189680799615573,0.6,0.4
file_transfer,5000,4290722,0.7149319648742676,6001580.864767452,858.1444,698.9946811396295,66,1514,0.00014301499597404833,0.0027027152781460245,0.5506,0.4494
icmp,20,2650,5.7497899532318115,460.8864013389745,132.5,27.165186699543455,98,154,0.3026205238543059,0.4637625049414587,0.65,0.35
video_streaming,500,488744,1.299501895904541,376101.02881750796,977.488,660.5291024977574,66,1514,0.0026042122162415653,0.02822078723826191,0.302,0.698
voip,40,18201,0.40119385719299316,45367.09541702794,455.025,91.94298330752152,339,610,0.010287021979307517,0.02803490578354101,0.325,0.675
web_browsing,300,70051,15.040165901184082,4657.5949002321195,233.50333333333333,292.8464560338646,66,982,0.05030155819794007,0.19245772939248454,0.43,0.57
file_transfer,5000,4236594,0.6191680431365967,6842397.709252173,847.3188,700.0286514058677,66,1514,0.00012385838030338,0.0026111627993277405,0.5428,0.4572
icmp,20,2650,5.104079008102417,519.1925900428432,132.5,27.165186699543455,98,154,0.2686357372685483,0.45203218794117034,0.35,0.65
video_streaming,500,488744,1.2872419357299805,379683.09331286565,977.488,660.5291024977574,66,1514,0.002579643157775512,0.02808913461583158,0.302,0.698
voip,40,18201,0.4019761085510254,45278.81038902498,455.025,91.94298330752152,339,610,0.010307079706436548,0.028008170188357592,0.325,0.675
web_browsing,300,70051,15.543591022491455,4506.7449277735595,233.50333333333333,292.8464560338646,66,982,0.051985254255824266,0.19539555289251945,0.43,0.57
file_transfer,5000,6499616,0.6921310424804688,9390730.369073734,1299.9232,495.08816725956206,102,1514,0.00013845389927594895,0.0026384057210345102,0.8768,0.1232
icmp,20,2626,8.172209024429321,321.33294585956554,131.3,8.411145488044577,103,134,0.4301162644436485,0.5056004086294487,0.5,0.5
video_streaming,500,435332,2.223757028579712,195764.1929424464,870.664,695.5756940810919,90,1514,0.004456426910981387,0.03686990633425215,0.4,0.6
voip,30,13780,0.40796685218811035,33777.25402466313,459.3333333333333,81.42410612018571,374,590,0.014067822489245185,0.03167685674455256,0.5,0.5
web_browsing,300,59040,20.9552161693573,2817.436934214684,196.8,256.36543733154434,102,962,0.07008433501457291,0.22156364992056551,0.6,0.4
file_transfer,5000,6708532,0.7056732177734375,9506570.224057777,1341.7064,450.94157610498945,102,1514,0.00014116287612991348,0.002634375924766107,0.902,0.098
icmp,20,2626,8.142903089523315,322.4894084001343,131.3,8.411145488044577,103,134,0.4285738468170166,0.5017352375301064,0.5,0.5
video_streaming,500,435268,2.2406370639801025,194260.82295845897,870.536,695.7299368246188,102,1514,0.004490254637234675,0.0372191327986038,0.406,0.594
voip,30,13780,0.4086010456085205,33724.82803972699,459.3333333333333,81.42410612018571,374,590,0.014089691227880018,0.031645783071911036,0.5,0.5
web_browsing,300,59040,18.34967589378357,3217.4955209972586,196.8,256.36543733154434,102,962,0.061370153490914944,0.19767100744817495,0.6,0.4
file_transfer,5000,4276062,0.5004861354827881,8543817.094703626,855.2124,699.6305712827983,66,1514,0.00010011725054666695,0.001488035262877707,0.548,0.452
icmp,20,2650,5.209672927856445,508.66916919683865,132.5,27.165186699543455,98,154,0.2741933119924445,0.45692646776402074,0.65,0.35
video_streaming,500,492812,1.3040740489959717,377901.85333373066,985.624,658.2874686691322,66,1514,0.002613374847687318,0.028411376614848258,0.296,0.704
voip,40,18201,0.40125584602355957,45360.08678844603,455.025,91.94298330752152,339,610,0.010288611436501527,0.027917710849359994,0.325,0.675
web_browsing,300,70051,15.450037002563477,4534.0344484856,233.50333333333333,292.8464560338646,66,982,0.05167236455706848,0.19258537248501323,0.43,0.57
file_transfer,5000,4216838,0.590623140335083,7139642.374336412,843.3676,700.6399721285882,66,1514,0.00011814825771856031,0.0026067619079023297,0.5392,0.4608
icmp,20,2650,5.100506067276001,519.5562881499072,132.5,27.165186699543455,98,154,0.26844768775136846,0.4487780459829002,0.35,0.65
video_streaming,500,473702,1.2945148944854736,365930.1271989464,947.404,667.6309661766716,66,1514,0.0025942182254217907,0.028192427405112543,0.324,0.676
voip,40,18201,0.4013988971710205,45343.92129195427,455.025,91.94298330752152,339,610,0.010292279414641552,0.027923241911057776,0.325,0.675
web_browsing,300,70051,14.088774919509888,4972.114353462671,233.50333333333333,292.8464560338646,66,982,0.04711964856023374,0.1789224765936512,0.43,0.57
file_transfer,5000,6611648,0.8235399723052979,8028326.7629284775,1322.3296,470.9587589103306,122,1514,0.0001647409426495895,0.002584581497951439,0.8762,0.1238
icmp,20,3024,8.149803161621094,371.05190641174823,151.2,8.618218157515294,126,154,0.42893700850637334,0.5044478552842538,0.5,0.5
video_streaming,500,455400,1.911694049835205,238218.03496184817,910.8,685.5468218070736,122,1514,0.003831050200070551,0.03424618719515291,0.392,0.608
voip,30,14140,0.40810608863830566,34647.853569594576,471.3333333333333,80.50415852755611,394,602,0.01407262374614847,0.03176271668398385,0.5,0.5
web_browsing,300,63960,18.446285009384155,3467.3648361966493,213.2,253.4099749114375,122,970,0.06169326090095035,0.19653646173194994,0.6,0.4
file_transfer,5000,6660656,0.7783389091491699,8557526.704248926,1332.1312,457.6224514249379,122,1514,0.00015569892161415683,0.0014994068778091338,0.8866,0.1134
icmp,18,2716,7.129651069641113,380.9443089809886,150.88888888888889,9.054663334689764,126,154,0.4193912393906537,0.5056213068664113,0.5,0.5
video_streaming,500,443800,1.9152600765228271,231717.877608415,887.6,688.083790395625,122,1514,0.0038381965461379303,0.03427839348878934,0.408,0.592
voip,30,14140,0.408113956451416,34647.18561195125,471.3333333333333,80.50415852755611,394,602,0.014072895050048828,0.03168609567573645,0.5,0.5
web_browsing,300,63960,17.575660943984985,3639.1234562299283,213.2,253.4099749114375,122,970,0.058781474729046775,0.1878198927942615,0.6,0.4
file_transfer,5000,4024298,0.6801090240478516,5917136.602670421,804.8596,699.0289331477743,66,1514,0.00013604901461249281,0.0014880851550005169,0.5064,0.4936
icmp,20,2880,5.074064016342163,567.5923659465692,144.0,33.60451097538449,98,170,0.26705600086011383,0.4423597149298364,0.35,0.65
video_streaming,500,492404,1.2968530654907227,379691.43390479387,984.808,647.4610774630853,66,1514,0.0025989039388591637,0.028137956054534338,0.302,0.698
voip,40,18545,0.4011549949645996,46229.014303153635,463.625,93.43685307639868,339,618,0.01028602551191281,0.028004308025785057,0.325,0.675
web_browsing,300,73047,14.519613981246948,5030.918872522719,243.49,293.42103351617277,66,1002,0.048560581877080095,0.1816955766929595,0.43,0.57
file_transfer,5000,3979562,0.6871039867401123,5791790.000929241,795.9124,698.9991859069793,66,1514,0.00013744828700542355,0.001476005113942502,0.5,0.5
icmp,20,2880,5.078290939331055,567.1199295996563,144.0,33.60451097538449,98,170,0.26727847049110814,0.4381804244765997,0.35,0.65
video_streaming,500,492404,1.316622018814087,373990.40344435384,984.808,647.4610774630853,66,1514,0.0026385210797877493,0.028371533408102688,0.302,0.698
voip,40,18545,0.40068817138671875,46282.873626687484,463.625,93.43685307639868,339,618,0.010274055676582532,0.02801229459301476,0.325,0.675
web_browsing,300,73047,14.59552812576294,5004.752097395015,243.49,293.42103351617277,66,1002,0.0488144753369998,0.18597387164120882,0.43,0.57
file_transfer,5000,6555120,0.6962080001831055,9415462.043349082,1311.024,478.55203461480215,122,1514,0.00013926945392740657,0.002599979237647668,0.8746,0.1254
icmp,18,2716,7.146249055862427,380.059521963054,150.88888888888889,9.054663334689764,126,154,0.4203675915213192,0.5080750522020243,0.5,0.5
video_streaming,500,435800,1.920314073562622,226942.04349161035,871.6,689.9519311768533,122,1514,0.0038483247967186817,0.034281379291484664,0.42,0.58
voip,30,14140,0.4038059711456299,35016.817507387736,471.3333333333333,80.50415852755611,394,602,0.013924343832607928,0.03147116907890608,0.5,0.5
web_browsing,300,63960,18.160961151123047,3521.8400319106904,213.2,253.4099749114375,122,970,0.06073900050542825,0.19399667038526328,0.6,0.4
file_transfer,5000,6561280,0.7276120185852051,9017553.081047216,1312.256,473.5827397470027,122,1514,0.00014555151401984497,0.00262226302441461,0.8808,0.1192
icmp,20,3024,8.149272918701172,371.0760493810979,151.2,8.618218157515294,126,154,0.4289091009842722,0.5145443276804126,0.5,0.5
video_streaming,500,431560,1.908111810684204,226171.2325155897,863.12,690.6873182150416,122,1514,0.0038238713640966013,0.0340492970723795,0.426,0.574
voip,30,14140,0.40942811965942383,34535.97669784413,471.3333333333333,80.50415852755611,394,602,0.014118211022738752,0.03162848847320832,0.5,0.5
web_browsing,300,63960,20.09167504310608,3183.408046505618,213.2,253.4099749114375,122,970,0.06719623760236147,0.21428030440809678,0.6,0.4
file_transfer,5000,4357834,0.6598880290985107,6603899.158397136,871.5668,695.4199368118972,66,1514,0.00013200400662102636,0.0026532173157142996,0.5542,0.4458
icmp,20,2880,5.094578981399536,565.3067722602727,144.0,33.60451097538449,98,170,0.2681357358631335,0.45948447309261087,0.35,0.65
video_streaming,500,488338,1.2901320457458496,378517.84366590367,976.676,649.5312746724019,66,1514,0.0025854349614145285,0.02808010320191248,0.308,0.692
voip,40,18545,0.4007089138031006,46280.4778261374,463.625,93.43685307639868,339,618,0.010274587533412835,0.028010981018500365,0.325,0.675
web_browsing,300,73047,14.786932945251465,4939.969652290715,243.49,293.42103351617277,66,1002,0.04945462523495473,0.18695042351363653,0.43,0.57
file_transfer,5000,4175934,0.6978671550750732,5983852.32723952,835.1868,698.4665995048616,66,1514,0.0001396013512852717,0.002613133279459725,0.528,0.472
