file,combo,traffic,cipher,true_family,true_mode,n_packets,distinct_sizes,rule_family,rule_conf,rule_leaning,icv_candidates,min_len,p05_len,p25_len,p50_len,p75_len,p95_len,max_len,mean_len,std_len,frac_res0,frac_res4,frac_res8,frac_res12,multi_size
aes128-dh2-tunnel-pfs-on__video_run1.pcap,aes128-dh2-tunnel-pfs-on,video,aes128,CBC-like,tunnel,325,4,CBC-like (16-byte block aligned),0.985,,16;32,104.0,104.0,104.0,216.0,1480.0,1480.0,1480.0,775.1630769230769,682.7841563592026,0.0,0.0,1.0,0.0,1.0
aes128-dh2-tunnel-pfs-on__voip_run1.pcap,aes128-dh2-tunnel-pfs-on,voip,aes128,CBC-like,tunnel,27,4,CBC-like (16-byte block aligned),0.985,,16;32,376.0,376.0,376.0,440.0,536.0,584.0,584.0,463.1111111111111,79.86160869410206,0.0,0.0,1.0,0.0,1.0
aes128-dh2-tunnel-pfs-on__web_run1.pcap,aes128-dh2-tunnel-pfs-on,web,aes128,CBC-like,tunnel,215,3,CBC-like (16-byte block aligned),0.941,,16;32,104.0,104.0,104.0,104.0,104.0,968.0,968.0,194.93953488372094,255.07389001468874,0.0,0.0,1.0,0.0,1.0
aes128gcm16-dh14-transport-pfs-off__file_transfer_run1.pcap,aes128gcm16-dh14-transport-pfs-off,file_transfer,aes128gcm16,GCM-like,transport,5000,30,GCM-like (AEAD / not 16-byte block aligned),0.97,,,68.0,68.0,1480.0,1480.0,1480.0,1480.0,1480.0,1273.0464,490.4292057443562,0.0312,0.087,0.8588,0.023,1.0
aes128gcm16-dh14-transport-pfs-off__icmp_run1.pcap,aes128gcm16-dh14-transport-pfs-off,icmp,aes128gcm16,GCM-like,transport,18,1,undetermined,0.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0
aes128gcm16-dh14-transport-pfs-off__video_run1.pcap,aes128gcm16-dh14-transport-pfs-off,video,aes128gcm16,GCM-like,transport,500,11,GCM-like (AEAD / not 16-byte block aligned),0.97,,,68.0,68.0,68.0,1480.0,1480.0,1480.0,1480.0,839.232,694.8979221266962,0.13,0.29,0.55,0.03,1.0
aes128gcm16-dh14-transport-pfs-off__voip_run1.pcap,aes128gcm16-dh14-transport-pfs-off,voip,aes128gcm16,GCM-like,transport,30,5,GCM-like (AEAD / not 16-byte block aligned),0.97,,,340.0,340.0,348.0,400.0,508.0,556.0,556.0,425.3333333333333,80.0555362788164,0.3333333333333333,0.16666666666666666,0.0,0.5,1.0
aes128gcm16-dh14-transport-pfs-off__web_run1.pcap,aes128gcm16-dh14-transport-pfs-off,web,aes128gcm16,GCM-like,transport,300,4,GCM-like (AEAD / not 16-byte block aligned),0.97,,,68.0,68.0,68.0,68.0,76.0,928.0,928.0,162.8,255.9378049448733,0.1,0.6,0.0,0.3,1.0
aes128gcm16-dh14-transport-pfs-on__file_transfer_run1.pcap,aes128gcm16-dh14-transport-pfs-on,file_transfer,aes128gcm16,GCM-like,transport,5000,28,GCM-like (AEAD / not 16-byte block aligned),0.97,,,68.0,68.0,1480.0,1480.0,1480.0,1480.0,1480.0,1142.7176,595.3081436115585,0.0714,0.1416,0.7672,0.0198,1.0
aes128gcm16-dh14-transport-pfs-on__icmp_run1.pcap,aes128gcm16-dh14-transport-pfs-on,icmp,aes128gcm16,GCM-like,transport,18,1,undetermined,0.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0
aes128gcm16-dh14-transport-pfs-on__video_run1.pcap,aes128gcm16-dh14-transport-pfs-on,video,aes128gcm16,GCM-like,transport,500,10,GCM-like (AEAD / not 16-byte block aligned),0.97,,,68.0,68.0,68.0,1480.0,1480.0,1480.0,1480.0,847.28,694.5398891352462,0.076,0.334,0.556,0.034,1.0
aes128gcm16-dh14-transport-pfs-on__voip_run1.pcap,aes128gcm16-dh14-transport-pfs-on,voip,aes128gcm16,GCM-like,transport,30,5,GCM-like (AEAD / not 16-byte block aligned),0.97,,,340.0,340.0,348.0,400.0,508.0,556.0,556.0,425.3333333333333,80.0555362788164,0.3333333333333333,0.16666666666666666,0.0,0.5,1.0
aes128gcm16-dh14-transport-pfs-on__web_run1.pcap,aes128gcm16-dh14-transport-pfs-on,web,aes128gcm16,GCM-like,transport,300,4,GCM-like (AEAD / not 16-byte block aligned),0.97,,,68.0,68.0,68.0,68.0,76.0,928.0,928.0,162.8,255.9378049448733,0.1,0.6,0.0,0.3,1.0
aes128gcm16-dh14-tunnel-pfs-off__file_transfer_run1.pcap,aes128gcm16-dh14-tunnel-pfs-off,file_transfer,aes128gcm16,GCM-like,tunnel,3797,21,GCM-like (AEAD / not 16-byte block aligned),0.97,,,88.0,88.0,88.0,1480.0,1480.0,1480.0,1480.0,1015.8777982617856,645.1508632640865,0.0018435607058203845,0.0021069265209375824,0.9597050302870688,0.03634448248617329,1.0
aes128gcm16-dh14-tunnel-pfs-off__icmp_run1.pcap,aes128gcm16-dh14-tunnel-pfs-off,icmp,aes128gcm16,GCM-like,tunnel,12,1,undetermined,0.0,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0
aes128gcm16-dh14-tunnel-pfs-off__video_run1.pcap,aes128gcm16-dh14-tunnel-pfs-off,video,aes128gcm16,GCM-like,tunnel,325,8,GCM-like (AEAD / not 16-byte block aligned),0.97,,,88.0,88.0,88.0,188.0,1480.0,1480.0,1480.0,763.6553846153846,692.7134281562103,0.03076923076923077,0.003076923076923077,0.9476923076923077,0.018461538461538463,1.0
aes128gcm16-dh14-tunnel-pfs-off__voip_run1.pcap,aes128gcm16-dh14-tunnel-pfs-off,voip,aes128gcm16,GCM-like,tunnel,27,5,GCM-like (AEAD / not 16-byte block aligned),0.97,,,360.0,360.0,368.0,420.0,528.0,576.0,576.0,450.3703703703704,82.33092580742228,0.5555555555555556,0.2962962962962963,0.14814814814814814,0.0,1.0
aes128gcm16-dh14-tunnel-pfs-off__web_run1.pcap,aes128gcm16-dh14-tunnel-pfs-off,web,aes128gcm16,GCM-like,tunnel,215,4,GCM-like (AEAD / not 16-byte block aligned),0.97,,,88.0,88.0,88.0,88.0,96.0,948.0,948.0,181.0046511627907,253.24629977644238,0.30697674418604654,0.09767441860465116,0.5953488372093023,0.0,1.0
aes128gcm16-dh14-tunnel-pfs-on__file_transfer_run1.pcap,aes128gcm16-dh14-tunnel-pfs-on,file_transfer,aes128gcm16,GCM-like,tunnel,3776,21,GCM-like (AEAD / not 16-byte block aligned),0.97,,,88.0,88.0,88.0,1480.0,1480.0,1480.0,1480.0,1006.6281779661017,648.5459710605592,0.001853813559322034,0.00211864406779661,0.9602754237288136,0.0357521186440678,1.0
aes128gcm16-dh14-tunnel-pfs-on__icmp_run1.pcap,aes128gcm16-dh14-tunnel-pfs-on,icmp,aes128gcm16,GCM-like,tunnel,12,1,undetermined,0.0,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0
aes128gcm16-dh14-tunnel-pfs-on__video_run1.pcap,aes128gcm16-dh14-tunnel-pfs-on,video,aes128gcm16,GCM-like,tunnel,329,8,GCM-like (AEAD / not 16-byte block aligned),0.97,,,88.0,88.0,88.0,96.0,1480.0,1480.0,1480.0,738.516717325228,691.5544275877899,0.030395136778115502,0.00303951367781155,0.9483282674772037,0.0182370820668693,1.0
aes128gcm16-dh14-tunnel-pfs-on__voip_run1.pcap,aes128gcm16-dh14-tunnel-pfs-on,voip,aes128gcm16,GCM-like,tunnel,27,5,GCM-like (AEAD / not 16-byte block aligned),0.97,,,360.0,360.0,368.0,420.0,528.0,576.0,576.0,450.3703703703704,82.33092580742228,0.5555555555555556,0.2962962962962963,0.14814814814814814,0.0,1.0
aes128gcm16-dh14-tunnel-pfs-on__web_run1.pcap,aes128gcm16-dh14-tunnel-pfs-on,web,aes128gcm16,GCM-like,tunnel,215,4,GCM-like (AEAD / not 16-byte block aligned),0.97,,,88.0,88.0,88.0,88.0,96.0,948.0,948.0,181.0046511627907,253.24629977644238,0.30697674418604654,0.09767441860465116,0.5953488372093023,0.0,1.0
aes128gcm16-dh19-transport-pfs-off__file_transfer_run1.pcap,aes128gcm16-dh19-transport-pfs-off,file_transfer,aes128gcm16,GCM-like,transport,5000,27,GCM-like (AEAD / not 16-byte block aligned),0.97,,,68.0,68.0,1480.0,1480.0,1480.0,1480.0,1480.0,1308.7288,452.7257784250417,0.0234,0.0728,0.8844,0.0194,1.0
aes128gcm16-dh19-transport-pfs-off__icmp_run1.pcap,aes128gcm16-dh19-transport-pfs-off,icmp,aes128gcm16,GCM-like,transport,18,1,undetermined,0.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0
aes128gcm16-dh19-transport-pfs-off__video_run1.pcap,aes128gcm16-dh19-transport-pfs-off,video,aes128gcm16,GCM-like,transport,500,11,GCM-like (AEAD / not 16-byte block aligned),0.97,,,68.0,68.0,80.0,1480.0,1480.0,1480.0,1480.0,804.952,696.7653419164877,0.218,0.22,0.532,0.03,1.0
aes128gcm16-dh19-transport-pfs-off__voip_run1.pcap,aes128gcm16-dh19-transport-pfs-off,voip,aes128gcm16,GCM-like,transport,30,5,GCM-like (AEAD / not 16-byte block aligned),0.97,,,340.0,340.0,348.0,400.0,508.0,556.0,556.0,425.3333333333333,80.0555362788164,0.3333333333333333,0.16666666666666666,0.0,0.5,1.0
aes128gcm16-dh19-transport-pfs-off__web_run1.pcap,aes128gcm16-dh19-transport-pfs-off,web,aes128gcm16,GCM-like,transport,300,4,GCM-like (AEAD / not 16-byte block aligned),0.97,,,68.0,68.0,68.0,68.0,76.0,928.0,928.0,162.8,255.9378049448733,0.1,0.6,0.0,0.3,1.0
